SYMBOL,LAST,CLOSE,TREND,MOVING TREND,10 DAY TWEE, 100 DAY TWEE
EXAS,2018-01-23,51.25,0.16,0.38,-2.7,23.34
EXPE,2018-01-23,128.89,-0.04,0.01,1.03,-1.91
EYEG,2018-01-23,1.25,-0.12,-0.22,73.42,107.0
F,2018-01-23,12.08,-0.01,0.01,26.16,30.13
FANG,2018-01-23,133.9,0.26,0.08,5.77,27.41
FB,2018-01-23,188.46,0.13,0.12,3.48,15.56
FCX,2018-01-23,19.72,0.3,0.11,2.37,29.15
FHB,2018-01-23,32.05,-0.2,-0.44,N/A,N/A
FHN,2018-01-23,20.2,0.07,0.06,31.66,115.92
FIVE,2018-01-23,67.31,0.2,0.16,-1.29,18.72
FIZZ,2018-01-23,106.45,0.08,0.2,1.59,12.83
FL,2018-01-23,51.28,0.08,-0.15,7.15,12.99
FND,2018-01-23,50.71,0.44,0.87,N/A,N/A
FOLD,2018-01-23,17.1,0.36,0.24,11.79,48.16
FOX,2018-01-23,37.32,0.24,0.06,4.59,25.18
FOXA,2018-01-23,37.71,0.24,0.06,4.26,24.34
FRAN,2018-01-23,6.28,-0.33,-0.27,-2.62,-27.35
FSLR,2018-01-23,74.85,0.4,0.2,6.22,44.97
FTNT,2018-01-23,45.72,0.14,0.07,1.49,13.98
GAIN,2018-01-23,11.14,0.1,0.09,18.59,43.17
GALT,2018-01-23,5.65,1.05,0.27,19.27,121.86
GDI,2018-01-23,38.0,0.38,0.17,9.72,68.53
GE,2018-01-23,16.86,-0.27,-0.16,-4.82,-25.71
GGB,2018-01-23,4.29,0.2,0.09,-0.46,17.18
GGP,2018-01-23,23.42,0.01,-0.04,50.38,73.02
GIII,2018-01-23,38.89,0.28,0.03,0.54,25.46
GILD,2018-01-23,82.18,0.08,-0.0,4.52,10.25
GLBS,2018-01-23,1.22,-0.28,-0.26,118.12,504.32
GM,2018-01-23,43.35,0.08,0.09,-0.94,7.51
GMED,2018-01-23,44.1,0.29,0.15,2.51,29.48
GNTX,2018-01-23,22.53,0.13,0.04,1.39,12.42
GOOGL,2018-01-23,1178.46,0.19,0.1,5.61,21.37
GPS,2018-01-23,35.68,0.26,0.1,5.23,28.03
GSM,2018-01-23,15.61,0.11,0.16,-4.15,9.63
^GSPC,2018-01-23,2842.24,0.12,0.07,3.01,13.24
GT,2018-01-23,35.52,0.09,0.0,4.73,42.61
GVA,2018-01-23,67.13,0.14,0.1,1.16,14.15
GWPH,2018-01-23,138.5,0.18,0.06,4.23,19.4
HAL,2018-01-23,57.86,0.26,0.01,12.59,31.65
HCM,2018-01-23,39.45,0.38,0.32,0.7,42.32
HDS,2018-01-23,39.0,0.06,0.01,-0.42,4.91
HES,2018-01-23,54.33,0.15,-0.03,5.31,15.77
HLS,2018-01-22,0.54,-0.99,-0.08,N/A,N/A
HMNY,2018-01-23,9.68,0.19,0.37,20.82,88.45
HPQ,2018-01-23,23.81,0.19,0.12,5.04,21.72
HSIC,2018-01-23,76.74,-0.04,-0.04,3.43,-1.01
HTBX,2018-01-23,3.16,-0.51,-0.33,-23.91,-52.86
HTGM,2018-01-23,4.37,0.6,-0.1,39.59,95.05
HUN,2018-01-23,34.77,0.22,0.19,34.1,59.82
IAG,2018-01-23,6.23,0.13,0.14,2.87,15.85
IART,2018-01-23,51.24,0.05,0.06,1.95,6.5
IBM,2018-01-23,164.71,0.06,-0.01,1.33,5.7
IBN,2018-01-23,11.25,0.24,0.09,9.57,29.29
IDCC,2018-01-23,79.25,0.02,0.01,-0.2,2.04
IDXG,2018-01-23,1.09,-0.23,-0.09,30.65,17.47
IIVI,2018-01-23,49.01,0.18,0.2,-4.27,15.01
IMNP,2018-01-23,0.61,-0.48,0.02,26.3,-2.92
INCY,2018-01-23,95.16,-0.15,-0.03,-1.21,-12.79
INGN,2018-01-23,121.21,0.2,0.22,1.45,22.67
INSM,2018-01-23,29.56,0.19,0.28,-5.06,19.8
INT,2018-01-23,28.77,-0.14,-0.13,0.69,-12.09
INTC,2018-01-23,45.96,0.14,0.09,2.29,14.68
IONS,2018-01-23,53.03,0.02,0.08,1.96,5.24
IPGP,2018-01-23,263.24,0.41,0.3,6.26,47.0
IRWD,2018-01-23,16.62,0.03,0.01,8.65,10.27
ISRG,2018-01-23,440.94,0.28,0.19,7.43,33.23
ITUB,2018-01-23,15.06,0.18,0.09,6.96,21.5
ITUS,2018-01-23,4.65,0.77,-0.02,25.23,107.23
^IXIC,2018-01-23,7457.14,0.15,0.09,3.84,16.28
JAGX,2018-01-23,0.16,-0.64,-0.56,6.29,-45.2
JAZZ,2018-01-23,153.81,0.07,0.01,5.78,10.42
JD,2018-01-23,45.7,0.15,0.12,1.55,16.07
JPM,2018-01-23,114.64,0.18,0.12,3.27,19.74
JUNO,2018-01-23,86.05,1.01,0.26,45.3,147.32
JWN,2018-01-23,52.49,0.13,-0.02,4.79,14.46
KBH,2018-01-23,35.25,0.35,0.23,2.17,36.09
KEY,2018-01-23,21.74,0.16,0.08,4.37,18.45
KGC,2018-01-23,4.47,0.06,0.04,3.79,25.93
KMI,2018-01-23,19.71,0.03,-0.05,3.66,4.4
KO,2018-01-23,47.7,0.05,0.03,2.36,6.12
KR,2018-01-23,29.63,0.14,-0.08,4.23,14.52
KSS,2018-01-23,68.84,0.47,0.08,13.58,52.82
KWR,2018-01-23,156.89,0.07,0.1,0.21,7.33
LAZ,2018-01-23,59.4,0.25,0.08,6.09,27.05
LECO,2018-01-23,100.62,0.12,0.08,3.91,14.0
LEXEA,2018-01-23,47.35,-0.03,0.02,N/A,N/A
LITE,2018-01-23,45.79,-0.16,0.11,-12.6,-19.48
LOW,2018-01-23,108.28,0.3,0.06,10.61,34.5
LPI,2018-01-23,11.38,-0.04,-0.05,3.81,-0.41
LPL,2018-01-23,15.16,0.1,0.03,7.73,14.84
LPLA,2018-01-23,59.94,0.22,0.16,1.5,22.86
M,2018-01-23,27.36,0.09,-0.12,4.14,10.61
MANH,2018-01-23,54.21,0.14,-0.04,5.75,15.61
MARA,2018-01-23,3.49,-0.02,-0.17,-17.38,3.65
MAT,2018-01-23,16.15,-0.15,-0.19,1.0,-11.7
MBRX,2018-01-23,2.02,-0.08,-0.22,N/A,N/A
MCK,2018-01-23,173.03,0.11,-0.01,4.44,12.7
MDCO,2018-01-23,30.63,-0.12,-0.11,13.57,-0.5
MDLZ,2018-01-23,44.52,0.03,-0.01,2.2,7.29
MDRX,2018-01-23,15.71,0.15,0.06,2.77,15.55
MDSO,2018-01-23,68.93,-0.01,0.07,3.65,3.76
MGLN,2018-01-23,102.47,0.22,0.12,3.8,23.46
MIK,2018-01-23,26.22,0.2,-0.0,6.13,21.49
MOMO,2018-01-23,29.06,-0.08,0.05,N/A,N/A
MPWR,2018-01-23,121.89,0.13,0.14,1.56,14.38
MRK,2018-01-23,62.13,0.02,-0.02,4.84,5.15
MS,2018-01-23,57.31,0.19,0.12,4.35,21.02
MSDI,2018-01-23,0.61,-0.32,-0.36,-2.81,-24.27
MSFT,2018-01-23,92.3,0.19,0.13,4.08,21.37
MSG,2018-01-23,212.51,0.02,0.07,-0.39,2.03
MTBC,2018-01-23,3.25,0.43,0.39,17.35,176.72
MTSI,2018-01-23,33.73,-0.2,-0.08,-4.65,-19.21
MU,2018-01-23,44.65,0.21,0.28,1.73,26.56
MYO,2018-01-23,4.35,-0.03,2.37,N/A,N/A
MYOS,2018-01-23,1.62,-0.07,-0.16,0.81,27.86
NAKD,2018-01-23,1.65,0.02,-0.1,104.26,428.9
NAV,2018-01-23,46.07,0.25,0.24,4.77,31.62
NBIX,2018-01-23,88.98,0.42,0.18,12.99,51.49
NBL,2018-01-23,33.03,0.12,-0.07,6.34,13.75
